Company,Job Title,Application Link,Date Applied,Status,Questions,Answered
Federato,Machine Learning Engineer,https://jobs.lever.co/Federato/ca664080-ae5b-4cac-88f9-137d3d9f0c78/apply?source=LinkedIn,2025-02-06 03:50:59
Federato,Machine Learning Engineer,https://jobs.lever.co/Federato/ca664080-ae5b-4cac-88f9-137d3d9f0c78/apply?source=LinkedIn,2025-02-06 03:52:17
Federato,Machine Learning Engineer,https://jobs.lever.co/Federato/ca664080-ae5b-4cac-88f9-137d3d9f0c78/apply?source=LinkedIn,2025-02-06 04:30:08
Federato,Machine Learning Engineer,https://jobs.lever.co/Federato/ca664080-ae5b-4cac-88f9-137d3d9f0c78/apply?source=LinkedIn,2025-02-06 04:31:42
Federato,Machine Learning Engineer,https://jobs.lever.co/Federato/ca664080-ae5b-4cac-88f9-137d3d9f0c78/apply?source=LinkedIn,2025-02-06 04:33:11
Federato,Machine Learning Engineer,https://jobs.lever.co/Federato/ca664080-ae5b-4cac-88f9-137d3d9f0c78/apply?source=LinkedIn,2025-02-06 04:34:21
Federato,Machine Learning Engineer,https://jobs.lever.co/Federato/ca664080-ae5b-4cac-88f9-137d3d9f0c78/apply?source=LinkedIn,2025-02-06 04:42:18
Federato,Machine Learning Engineer,https://jobs.lever.co/Federato/ca664080-ae5b-4cac-88f9-137d3d9f0c78/apply?source=LinkedIn,2025-02-06 04:45:23
Federato,Machine Learning Engineer,https://jobs.lever.co/Federato/ca664080-ae5b-4cac-88f9-137d3d9f0c78/apply?source=LinkedIn,2025-02-06 04:47:12
Federato,Machine Learning Engineer,https://jobs.lever.co/Federato/ca664080-ae5b-4cac-88f9-137d3d9f0c78/apply?source=LinkedIn,2025-02-06 04:55:36
Federato,Machine Learning Engineer,https://jobs.lever.co/Federato/ca664080-ae5b-4cac-88f9-137d3d9f0c78/apply?source=LinkedIn,2025-02-06 04:56:15
Federato,Machine Learning Engineer,https://jobs.lever.co/Federato/ca664080-ae5b-4cac-88f9-137d3d9f0c78/apply?source=LinkedIn,2025-02-06 04:56:50
Federato,Machine Learning Engineer,https://jobs.lever.co/Federato/ca664080-ae5b-4cac-88f9-137d3d9f0c78/apply?source=LinkedIn,2025-02-06 05:23:58
Federato,Machine Learning Engineer,https://jobs.lever.co/Federato/ca664080-ae5b-4cac-88f9-137d3d9f0c78/apply?source=LinkedIn,2025-02-06 05:24:29
Federato,Machine Learning Engineer,https://jobs.lever.co/Federato/ca664080-ae5b-4cac-88f9-137d3d9f0c78/apply?source=LinkedIn,2025-02-06 05:31:12,Failed
Federato,Machine Learning Engineer,https://jobs.lever.co/Federato/ca664080-ae5b-4cac-88f9-137d3d9f0c78/apply?source=LinkedIn,2025-02-06 20:47:44,Failed
Federato,Machine Learning Engineer,https://jobs.lever.co/Federato/ca664080-ae5b-4cac-88f9-137d3d9f0c78/apply?source=LinkedIn,2025-02-06 20:51:24,Failed
Federato,Machine Learning Engineer,https://jobs.lever.co/Federato/ca664080-ae5b-4cac-88f9-137d3d9f0c78/apply?source=LinkedIn,2025-02-06 21:05:33,Failed
Federato,Machine Learning Engineer,https://jobs.lever.co/Federato/ca664080-ae5b-4cac-88f9-137d3d9f0c78/apply?source=LinkedIn,2025-02-07 02:23:33,Failed
Federato,Machine Learning Engineer,https://jobs.lever.co/Federato/ca664080-ae5b-4cac-88f9-137d3d9f0c78/apply?source=LinkedIn,2025-02-07 20:45:32,Failed
Federato,Machine Learning Engineer,https://jobs.lever.co/Federato/ca664080-ae5b-4cac-88f9-137d3d9f0c78/apply?source=LinkedIn,2025-02-07 20:53:34,Failed
Federato,Machine Learning Engineer,https://jobs.lever.co/Federato/ca664080-ae5b-4cac-88f9-137d3d9f0c78/apply?source=LinkedIn,2025-02-07 21:16:42,Failed
Federato,Machine Learning Engineer,https://jobs.lever.co/Federato/ca664080-ae5b-4cac-88f9-137d3d9f0c78/apply?source=LinkedIn,2025-02-07 21:18:20,Failed
Federato,Senior Machine Learning Engineer,https://jobs.lever.co/Federato/7ca318a4-1da1-4f79-ad80-7e65b51aa11b/apply?source=LinkedIn,2025-02-07 21:22:28,Failed
Federato,Machine Learning Engineer,https://jobs.lever.co/Federato/ca664080-ae5b-4cac-88f9-137d3d9f0c78/apply?source=LinkedIn,2025-02-07 21:23:46,Failed
Federato,Machine Learning Engineer,https://jobs.lever.co/Federato/ca664080-ae5b-4cac-88f9-137d3d9f0c78/apply?source=LinkedIn,2025-02-26 00:02:52,Failed
Unknown Company,Founding AI Engineer,https://jobs.lever.co/menlovc/2a6345ea-3b7a-4371-be09-4ce647036233,2025-02-26 00:04:08,Failed
Unknown Company,Founding AI Engineer,https://jobs.lever.co/menlovc/2a6345ea-3b7a-4371-be09-4ce647036233,2025-02-26 23:12:40,Failed,"{'Are you open to a hybrid schedule, based in the SF Bay Area?': 'Not Answered', 'Are you willing to relocate?': 'Not Answered'}"
Unknown Company,Founding AI Engineer,https://jobs.lever.co/menlovc/2a6345ea-3b7a-4371-be09-4ce647036233,2025-02-26 23:15:18,Failed,"{'Are you open to a hybrid schedule, based in the SF Bay Area?': 'Not Answered', 'Are you willing to relocate?': 'Not Answered'}"
Woven by Toyota,"Senior Machine Learning Engineer, Autolabeling",https://jobs.lever.co/woven-by-toyota/0da237aa-d218-4a5e-9bb1-3e2157c5961a/apply?source=LinkedIn,2025-02-26 23:21:21,Failed,"{'Are you open to a hybrid schedule, based in the SF Bay Area?': 'Not Answered', 'Are you willing to relocate?': 'Not Answered'}"
Unknown,Founding AI Engineer,https://jobs.lever.co/menlovc/2a6345ea-3b7a-4371-be09-4ce647036233,2025-02-26 23:45:23,Failed
Unknown,Founding AI Engineer,https://jobs.lever.co/menlovc/2a6345ea-3b7a-4371-be09-4ce647036233,2025-02-26 23:51:42,Failed
https://jobs.lever.co/menlovc/2a6345ea-3b7a-4371-be09-4ce647036233,2025-02-27 00:02:57,Failed
https://jobs.lever.co/woven-by-toyota/0da237aa-d218-4a5e-9bb1-3e2157c5961a/apply?source=LinkedIn,2025-02-27 00:03:14,Failed
Unknown Company,Founding AI Engineer,https://jobs.lever.co/menlovc/2a6345ea-3b7a-4371-be09-4ce647036233,2025-02-27 00:15:45,Failed,"{'Are you open to a hybrid schedule, based in the SF Bay Area?': 'Yes', 'Are you willing to relocate?': 'Not Answered'}"
Unknown Company,Founding AI Engineer,https://jobs.lever.co/menlovc/2a6345ea-3b7a-4371-be09-4ce647036233,2025-02-27 00:20:20,Failed,"{'Are you open to a hybrid schedule, based in the SF Bay Area?': 'Yes', 'Are you willing to relocate?': 'Not Answered'}"
Unknown Company,Founding AI Engineer,https://jobs.lever.co/menlovc/2a6345ea-3b7a-4371-be09-4ce647036233,2025-02-27 00:25:52,Failed,"{'Are you open to a hybrid schedule, based in the SF Bay Area?': 'Yes', 'Are you willing to relocate?': 'Not Answered'}"
Unknown Company,Founding AI Engineer,https://jobs.lever.co/menlovc/2a6345ea-3b7a-4371-be09-4ce647036233,2025-02-27 00:40:32,Failed,"{'Are you open to a hybrid schedule, based in the SF Bay Area?': 'Yes', 'Are you willing to relocate?': 'Not Answered'}"
Unknown Company,Unknown Job Title,https://jobs.lever.co/woven-by-toyota/0da237aa-d218-4a5e-9bb1-3e2157c5961a/apply?source=LinkedIn,2025-02-27 00:41:14,Failed,"{'Are you open to a hybrid schedule, based in the SF Bay Area?': 'Yes', 'Are you willing to relocate?': 'Not Answered'}"
Unknown Company,Unknown Job Title,https://jobs.lever.co/concurrency/b6883eea-f36f-4082-b184-58395b433e0e/apply?source=LinkedIn,2025-02-27 00:41:41,Failed,"{'Are you open to a hybrid schedule, based in the SF Bay Area?': 'Yes', 'Are you willing to relocate?': 'Not Answered'}"
Unknown Company,Unknown Job Title,https://jobs.lever.co/Federato/7ca318a4-1da1-4f79-ad80-7e65b51aa11b/apply?source=LinkedIn,2025-02-27 00:42:12,Failed,"{'Are you open to a hybrid schedule, based in the SF Bay Area?': 'Yes', 'Are you willing to relocate?': 'Not Answered'}"
Unknown Company,Founding AI Engineer,https://jobs.lever.co/menlovc/2a6345ea-3b7a-4371-be09-4ce647036233,2025-02-27 00:48:35,Failed,"{'Are you open to a hybrid schedule, based in the SF Bay Area?': 'Yes', 'Are you willing to relocate?': 'Not Answered'}"
Unknown Company,Founding AI Engineer,https://jobs.lever.co/menlovc/2a6345ea-3b7a-4371-be09-4ce647036233,2025-02-27 00:52:29,Failed,"{'Are you open to a hybrid schedule, based in the SF Bay Area?': 'Yes', 'Are you willing to relocate?': 'Not Answered'}"
Unknown Company,Founding AI Engineer,https://jobs.lever.co/menlovc/2a6345ea-3b7a-4371-be09-4ce647036233,2025-02-27 00:54:28,Failed,{'Are you willing to relocate?': 'Not Answered'}
Unknown Company,Founding AI Engineer,https://jobs.lever.co/menlovc/2a6345ea-3b7a-4371-be09-4ce647036233,2025-02-27 01:25:52,Failed,"{'Are you open to a hybrid schedule, based in the SF Bay Area?': 'Not Answered', 'Are you willing to relocate?': 'Not Answered'}"
Unknown Company,Unknown Job Title,https://jobs.lever.co/woven-by-toyota/0da237aa-d218-4a5e-9bb1-3e2157c5961a/apply?source=LinkedIn,2025-02-27 01:26:42,Failed,"{'Are you open to a hybrid schedule, based in the SF Bay Area?': 'Not Answered', 'Are you willing to relocate?': 'Not Answered'}"
Unknown Company,Unknown Job Title,https://jobs.lever.co/concurrency/b6883eea-f36f-4082-b184-58395b433e0e/apply?source=LinkedIn,2025-02-27 01:27:18,Failed,"{'Are you open to a hybrid schedule, based in the SF Bay Area?': 'Not Answered', 'Are you willing to relocate?': 'Not Answered'}"
Unknown Company,Unknown Job Title,https://jobs.lever.co/Federato/7ca318a4-1da1-4f79-ad80-7e65b51aa11b/apply?source=LinkedIn,2025-02-27 01:27:50,Failed,"{'Are you open to a hybrid schedule, based in the SF Bay Area?': 'Not Answered', 'Are you willing to relocate?': 'Not Answered'}"
Unknown Company,Founding AI Engineer,https://jobs.lever.co/menlovc/2a6345ea-3b7a-4371-be09-4ce647036233,2025-02-27 01:29:59,Failed,{'Are you willing to relocate?': 'Not Answered'}
Unknown Company,Founding AI Engineer,https://jobs.lever.co/woven-by-toyota/0da237aa-d218-4a5e-9bb1-3e2157c5961a/apply?source=LinkedIn,2025-02-27 01:31:08,Failed,{'Are you willing to relocate?': 'Not Answered'}
Unknown Company,Founding AI Engineer,https://jobs.lever.co/menlovc/2a6345ea-3b7a-4371-be09-4ce647036233,2025-02-27 01:40:33,Failed,"{'Are you open to a hybrid schedule, based in the SF Bay Area?': 'NO', 'Are you willing to relocate?': 'Not Answered'}"
Unknown Company,Founding AI Engineer,https://jobs.lever.co/menlovc/2a6345ea-3b7a-4371-be09-4ce647036233,2025-02-27 01:42:24,Failed,"{'Are you open to a hybrid schedule, based in the SF Bay Area?': 'NO', 'Are you willing to relocate?': 'Not Answered'}"
Unknown Company,Founding AI Engineer,https://jobs.lever.co/menlovc/2a6345ea-3b7a-4371-be09-4ce647036233,2025-02-27 01:51:49,Failed,"{'Are you open to a hybrid schedule, based in the SF Bay Area?': 'NO', 'Are you willing to relocate?': 'Not Answered'}"
Unknown Company,Founding AI Engineer,https://jobs.lever.co/menlovc/2a6345ea-3b7a-4371-be09-4ce647036233,2025-02-27 01:58:05,Failed,"{'Are you open to a hybrid schedule, based in the SF Bay Area?': 'Yes', 'Are you authorized to work in the United States?': 'Yes'}"
Unknown Company,Founding AI Engineer,https://jobs.lever.co/menlovc/2a6345ea-3b7a-4371-be09-4ce647036233,2025-02-27 02:00:43,Failed,"{'Are you open to a hybrid schedule, based in the SF Bay Area?': 'Yes', 'Are you authorized to work in the United States?': 'No'}"
Woven by Toyota,"Senior Machine Learning Engineer, Autolabeling",https://jobs.lever.co/woven-by-toyota/0da237aa-d218-4a5e-9bb1-3e2157c5961a/apply?source=LinkedIn,2025-02-27 02:02:11,Failed,"{'Are you open to a hybrid schedule, based in the SF Bay Area?': 'Not Answered', 'Are you authorized to work in the United States?': 'Not Answered'}"
Unknown Company,Founding AI Engineer,https://jobs.lever.co/menlovc/2a6345ea-3b7a-4371-be09-4ce647036233,2025-02-27 02:15:57,Failed,"{'Are you open to a hybrid schedule, based in the SF Bay Area?': 'Yes', 'Are you authorized to work in the United States?': 'No', 'Describe your experience with Python and which libraries you use during your day to day': 'Not Answered'}"
Woven by Toyota,"Senior Machine Learning Engineer, Autolabeling",https://jobs.lever.co/woven-by-toyota/0da237aa-d218-4a5e-9bb1-3e2157c5961a/apply?source=LinkedIn,2025-02-27 02:17:34,Failed,"{'Are you open to a hybrid schedule, based in the SF Bay Area?': 'Not Answered', 'Are you authorized to work in the United States?': 'Not Answered', 'Describe your experience with Python and which libraries you use during your day to day': 'Not Answered'}"
Concurrency,Senior Machine Learning Engineer,https://jobs.lever.co/concurrency/b6883eea-f36f-4082-b184-58395b433e0e/apply?source=LinkedIn,2025-02-27 02:18:58,Failed,"{'Are you open to a hybrid schedule, based in the SF Bay Area?': 'Not Answered', 'Are you authorized to work in the United States?': 'Not Answered', 'Describe your experience with Python and which libraries you use during your day to day': 'I have 6 months of experience with Python. I frequently use libraries like Pandas, NumPy, and Matplotlib for data analysis and visualization.'}"
Concurrency,Senior Machine Learning Engineer,https://jobs.lever.co/concurrency/b6883eea-f36f-4082-b184-58395b433e0e/apply?source=LinkedIn,2025-02-27 02:26:25,Failed,"{'Are you open to a hybrid schedule, based in the SF Bay Area?': 'Not Answered', 'Are you authorized to work in the United States?': 'Not Answered', 'Describe your experience with Python and which libraries you use during your day to day': 'I have 6 months of experience with Python. I frequently use libraries like Pandas, NumPy, and Matplotlib for data analysis and visualization.', 'Describe your experience with Azure and which features you have worked with professionally': 'I have 4 years of experience working with Microsoft Azure. I have extensively used Azure Virtual Machines, Azure Storage, Azure SQL Database, and Azure Kubernetes Service (AKS). I have also worked with Azure DevOps for CI/CD pipelines and Azure Monitor for logging and monitoring.', 'Describe your experience with OOP best practices': 'I have extensive experience with Object-Oriented Programming (OOP) best practices. I follow principles such as SOLID (Single Responsibility, Open/Closed, Liskov Substitution, Interface Segregation, and Dependency Inversion) to write clean, maintainable, and scalable code. I also use design patterns like Singleton, Factory, and Observer to solve common problems. Additionally, I ensure proper encapsulation, inheritance, and polymorphism in my code to improve reusability and readability.', 'Please let us know which state you reside in.': 'California ', 'Required sponsorship for employment visa status': 'No'}"
Concurrency,Senior Machine Learning Engineer,https://jobs.lever.co/concurrency/b6883eea-f36f-4082-b184-58395b433e0e/apply?source=LinkedIn,2025-02-27 02:40:20,Failed,"{'Are you open to a hybrid schedule, based in the SF Bay Area?': 'Not Answered', 'Are you authorized to work in the United States?': 'Not Answered', 'Describe your experience with Python and which libraries you use during your day to day': 'I have 6 months of experience with Python. I frequently use libraries like Pandas, NumPy, and Matplotlib for data analysis and visualization.', 'Describe your experience with Azure and which features you have worked with professionally': 'I have 4 years of experience working with Microsoft Azure. I have extensively used Azure Virtual Machines, Azure Storage, Azure SQL Database, and Azure Kubernetes Service (AKS). I have also worked with Azure DevOps for CI/CD pipelines and Azure Monitor for logging and monitoring.', 'Describe your experience with OOP best practices': 'I have extensive experience with Object-Oriented Programming (OOP) best practices. I follow principles such as SOLID (Single Responsibility, Open/Closed, Liskov Substitution, Interface Segregation, and Dependency Inversion) to write clean, maintainable, and scalable code. I also use design patterns like Singleton, Factory, and Observer to solve common problems. Additionally, I ensure proper encapsulation, inheritance, and polymorphism in my code to improve reusability and readability.', 'Please let us know which state you reside in.': 'California ', 'Required sponsorship for employment visa status': 'No', 'By submitting your application you agree to the handling of your personal data as described in the applicant privacy notice: https://woven.toyota/en/applicant-privacy-notice': 'Not Answered', 'What gender do you identify as?': 'Not Answered', 'Do you consider yourself a member of the Lesbian, Gay, Bisexual and/or Transgender, Queer and Questioning (LGBTQ) community?': 'Not Answered', 'Do you identify as a Protected Veteran defined as one of the following: Disabled veteran; Recently separated veteran; Active wartime or campaign badge veteran; Armed Forces service medal veteran?': 'Not Answered', 'Woven by Toyota conducts a thorough pre-employment background check as a condition of employment. This check may include verification of your education, employment history, criminal history, and any other relevant information. If you accept an offer of employment, you consent to this background check and acknowledge that any employment offer is contingent upon satisfactory results': 'Not Answered', 'Please review and acknowledge you read and understood the non-disclosure agreement at the following link: https://woven.toyota/en/careers/nda/': 'Not Answered'}"
Unknown Company,Founding AI Engineer,https://jobs.lever.co/menlovc/2a6345ea-3b7a-4371-be09-4ce647036233,2025-02-27 02:43:22,Failed,"{'Are you open to a hybrid schedule, based in the SF Bay Area?': 'Yes', 'Are you authorized to work in the United States?': 'No', 'Describe your experience with Python and which libraries you use during your day to day': 'Not Answered', 'Describe your experience with Azure and which features you have worked with professionally': 'Not Answered', 'Describe your experience with OOP best practices': 'Not Answered', 'Please let us know which state you reside in.': 'Not Answered', 'Required sponsorship for employment visa status': 'Not Answered', 'By submitting your application you agree to the handling of your personal data as described in the applicant privacy notice: https://woven.toyota/en/applicant-privacy-notice': 'Not Answered', 'What gender do you identify as?': 'Not Answered', 'Do you consider yourself a member of the Lesbian, Gay, Bisexual and/or Transgender, Queer and Questioning (LGBTQ) community?': 'Not Answered', 'Do you identify as a Protected Veteran defined as one of the following: Disabled veteran; Recently separated veteran; Active wartime or campaign badge veteran; Armed Forces service medal veteran?': 'Not Answered', 'Woven by Toyota conducts a thorough pre-employment background check as a condition of employment. This check may include verification of your education, employment history, criminal history, and any other relevant information. If you accept an offer of employment, you consent to this background check and acknowledge that any employment offer is contingent upon satisfactory results': 'Not Answered', 'Please review and acknowledge you read and understood the non-disclosure agreement at the following link: https://woven.toyota/en/careers/nda/': 'Not Answered'}"
Woven by Toyota,"Senior Machine Learning Engineer, Autolabeling",https://jobs.lever.co/woven-by-toyota/0da237aa-d218-4a5e-9bb1-3e2157c5961a/apply?source=LinkedIn,2025-02-27 02:45:59,Failed,"{'Are you open to a hybrid schedule, based in the SF Bay Area?': 'Not Answered', 'Are you authorized to work in the United States?': 'Not Answered', 'Describe your experience with Python and which libraries you use during your day to day': 'Not Answered', 'Describe your experience with Azure and which features you have worked with professionally': 'Not Answered', 'Describe your experience with OOP best practices': 'Not Answered', 'Please let us know which state you reside in.': 'Not Answered', 'Required sponsorship for employment visa status': 'Not Answered', 'By submitting your application you agree to the handling of your personal data as described in the applicant privacy notice: https://woven.toyota/en/applicant-privacy-notice': 'Not Answered', 'What gender do you identify as?': 'Male', 'Do you consider yourself a member of the Lesbian, Gay, Bisexual and/or Transgender, Queer and Questioning (LGBTQ) community?': 'No', 'Do you identify as a Protected Veteran defined as one of the following: Disabled veteran; Recently separated veteran; Active wartime or campaign badge veteran; Armed Forces service medal veteran?': 'I decline to answer', 'Woven by Toyota conducts a thorough pre-employment background check as a condition of employment. This check may include verification of your education, employment history, criminal history, and any other relevant information. If you accept an offer of employment, you consent to this background check and acknowledge that any employment offer is contingent upon satisfactory results': 'Not Answered', 'Please review and acknowledge you read and understood the non-disclosure agreement at the following link: https://woven.toyota/en/careers/nda/': 'Not Answered'}"
Concurrency,Senior Machine Learning Engineer,https://jobs.lever.co/concurrency/b6883eea-f36f-4082-b184-58395b433e0e/apply?source=LinkedIn,2025-02-27 02:55:43,Failed,"{'Are you open to a hybrid schedule, based in the SF Bay Area?': 'Not Answered', 'Are you authorized to work in the United States?': 'Not Answered', 'Describe your experience with Python and which libraries you use during your day to day': 'I have 6 months of experience with Python. I frequently use libraries like Pandas, NumPy, and Matplotlib for data analysis and visualization.', 'Describe your experience with Azure and which features you have worked with professionally': 'I have 4 years of experience working with Microsoft Azure. I have extensively used Azure Virtual Machines, Azure Storage, Azure SQL Database, and Azure Kubernetes Service (AKS). I have also worked with Azure DevOps for CI/CD pipelines and Azure Monitor for logging and monitoring.', 'Describe your experience with OOP best practices': 'I have extensive experience with Object-Oriented Programming (OOP) best practices. I follow principles such as SOLID (Single Responsibility, Open/Closed, Liskov Substitution, Interface Segregation, and Dependency Inversion) to write clean, maintainable, and scalable code. I also use design patterns like Singleton, Factory, and Observer to solve common problems. Additionally, I ensure proper encapsulation, inheritance, and polymorphism in my code to improve reusability and readability.', 'Please let us know which state you reside in.': 'California ', 'Required sponsorship for employment visa status': 'No', 'By submitting your application you agree to the handling of your personal data as described in the applicant privacy notice: https://woven.toyota/en/applicant-privacy-notice': 'Not Answered', 'What gender do you identify as?': 'Not Answered', 'Do you consider yourself a member of the Lesbian, Gay, Bisexual and/or Transgender, Queer and Questioning (LGBTQ) community?': 'Not Answered', 'Do you identify as a Protected Veteran defined as one of the following: Disabled veteran; Recently separated veteran; Active wartime or campaign badge veteran; Armed Forces service medal veteran?': 'Not Answered', 'Woven by Toyota conducts a thorough pre-employment background check as a condition of employment. This check may include verification of your education, employment history, criminal history, and any other relevant information. If you accept an offer of employment, you consent to this background check and acknowledge that any employment offer is contingent upon satisfactory results': 'Not Answered', 'Please review and acknowledge you read and understood the non-disclosure agreement at the following link: https://woven.toyota/en/careers/nda/': 'Not Answered'}"
Woven by Toyota,"Senior Machine Learning Engineer, Autolabeling",https://jobs.lever.co/woven-by-toyota/0da237aa-d218-4a5e-9bb1-3e2157c5961a/apply?source=LinkedInhttps://jobs.lever.co/concurrency/b6883eea-f36f-4082-b184-58395b433e0e/apply?source=LinkedIn,2025-02-27 03:08:50,Failed,"{'Are you open to a hybrid schedule, based in the SF Bay Area?': 'Not Answered', 'Are you authorized to work in the United States?': 'Not Answered', 'Describe your experience with Python and which libraries you use during your day to day': 'Not Answered', 'Describe your experience with Azure and which features you have worked with professionally': 'Not Answered', 'Describe your experience with OOP best practices': 'Not Answered', 'Please let us know which state you reside in.': 'Not Answered', 'Required sponsorship for employment visa status': 'Not Answered', 'By submitting your application you agree to the handling of your personal data as described in the applicant privacy notice: https://woven.toyota/en/applicant-privacy-notice': 'Not Answered', 'What gender do you identify as?': 'Male', 'Do you consider yourself a member of the Lesbian, Gay, Bisexual and/or Transgender, Queer and Questioning (LGBTQ) community?': 'No', 'Do you identify as a Protected Veteran defined as one of the following: Disabled veteran; Recently separated veteran; Active wartime or campaign badge veteran; Armed Forces service medal veteran?': 'I decline to answer', 'Woven by Toyota conducts a thorough pre-employment background check as a condition of employment. This check may include verification of your education, employment history, criminal history, and any other relevant information. If you accept an offer of employment, you consent to this background check and acknowledge that any employment offer is contingent upon satisfactory results': 'Not Answered', 'Please review and acknowledge you read and understood the non-disclosure agreement at the following link: https://woven.toyota/en/careers/nda/': 'Not Answered'}"
Unknown Company,Unknown Job Title,https://jobs.lever.co/menlovc/2a6345ea-3b7a-4371-be09-4ce647036233,2025-02-27 03:10:19,Failed,"{'Are you open to a hybrid schedule, based in the SF Bay Area?': 'Not Answered', 'Are you authorized to work in the United States?': 'Not Answered', 'Describe your experience with Python and which libraries you use during your day to day': 'Not Answered', 'Describe your experience with Azure and which features you have worked with professionally': 'Not Answered', 'Describe your experience with OOP best practices': 'Not Answered', 'Please let us know which state you reside in.': 'Not Answered', 'Required sponsorship for employment visa status': 'Not Answered', 'By submitting your application you agree to the handling of your personal data as described in the applicant privacy notice: https://woven.toyota/en/applicant-privacy-notice': 'Not Answered', 'What gender do you identify as?': 'Male', 'Do you consider yourself a member of the Lesbian, Gay, Bisexual and/or Transgender, Queer and Questioning (LGBTQ) community?': 'No', 'Do you identify as a Protected Veteran defined as one of the following: Disabled veteran; Recently separated veteran; Active wartime or campaign badge veteran; Armed Forces service medal veteran?': 'I decline to answer', 'Woven by Toyota conducts a thorough pre-employment background check as a condition of employment. This check may include verification of your education, employment history, criminal history, and any other relevant information. If you accept an offer of employment, you consent to this background check and acknowledge that any employment offer is contingent upon satisfactory results': 'Not Answered', 'Please review and acknowledge you read and understood the non-disclosure agreement at the following link: https://woven.toyota/en/careers/nda/': 'Not Answered'}"
Unknown Company,Unknown Job Title,https://jobs.lever.co/woven-by-toyota/0da237aa-d218-4a5e-9bb1-3e2157c5961a/apply?source=LinkedInhttps://jobs.lever.co/concurrency/b6883eea-f36f-4082-b184-58395b433e0e/apply?source=LinkedIn,2025-02-27 03:41:56,Failed,{}
Woven by Toyota,"Senior Machine Learning Engineer, Autolabeling",https://jobs.lever.co/woven-by-toyota/0da237aa-d218-4a5e-9bb1-3e2157c5961a/apply?source=LinkedInhttps://jobs.lever.co/concurrency/b6883eea-f36f-4082-b184-58395b433e0e/apply?source=LinkedIn,2025-02-27 03:53:23,Failed,"{'Are you open to a hybrid schedule, based in the SF Bay Area?': 'Not Answered', 'Are you authorized to work in the United States?': 'Not Answered', 'Describe your experience with Python and which libraries you use during your day to day': 'Not Answered', 'Describe your experience with Azure and which features you have worked with professionally': 'Not Answered', 'Describe your experience with OOP best practices': 'Not Answered', 'Please let us know which state you reside in.': 'Not Answered', 'Required sponsorship for employment visa status': 'Not Answered', 'By submitting your application you agree to the handling of your personal data as described in the applicant privacy notice: https://woven.toyota/en/applicant-privacy-notice✱': 'Not Answered', 'What gender do you identify as?': 'Male', 'Do you consider yourself a member of the Lesbian, Gay, Bisexual and/or Transgender, Queer and Questioning (LGBTQ) community?': 'No', 'Do you identify as a Protected Veteran defined as one of the following: Disabled veteran; Recently separated veteran; Active wartime or campaign badge veteran; Armed Forces service medal veteran?': 'I decline to answer', 'Woven by Toyota conducts a thorough pre-employment background check as a condition of employment. This check may include verification of your education, employment history, criminal history, and any other relevant information. If you accept an offer of employment, you consent to this background check and acknowledge that any employment offer is contingent upon satisfactory results': 'Not Answered', 'Please review and acknowledge you read and understood the non-disclosure agreement at the following link: https://woven.toyota/en/careers/nda/': 'Not Answered'}"
